Warning: --strictResponses has no effect when not using --responses
Using openai/gpt-oss-120b at https://openrouter.ai/api/v1/chat/completions with 3 attempts and NoRateLimiter
Running experiment for zod
Loading API from /work/zod/experiments/testpilot-2026-09/results/population-main.json
Extracting snippets
Generating tests
test_0.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): FAILED
test_79.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_80.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_81.js (for zod.z.email at temperature 0, 3 snippets available): PASSED
test_82.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_83.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_84.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_85.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_86.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_87.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_88.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_89.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_90.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_91.js (for zod.z.uuid at temperature 0, 3 snippets available): PASSED
test_92.js (for zod.z.uuid at temperature 0, 3 snippets available): PASSED
test_93.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_94.js (for zod.z.uuid at temperature 0, 3 snippets available): PASSED
test_95.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_96.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_97.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_98.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_99.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_100.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validator5EYJSB/report.json'
test_101.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): FAILED
test_102.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_103.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_104.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_105.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): FAILED
test_106.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): FAILED
test_107.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_108.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_109.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_110.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_111.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_112.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_113.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_114.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_115.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_116.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_117.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_118.js (for zod.z.emoji at temperature 0, 3 snippets available): FAILED
test_119.js (for zod.z.emoji at temperature 0, 3 snippets available): FAILED
test_120.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_121.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_122.js (for zod.z.nanoid at temperature 0, 3 snippets available): PASSED
test_123.js (for zod.z.nanoid at temperature 0, 3 snippets available): PASSED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorgiF7RK/report.json'
test_124.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_125.js (for zod.z.nanoid at temperature 0, 3 snippets available): PASSED
test_126.js (for zod.z.cuid at temperature 0, 3 snippets available): PASSED
test_127.js (for zod.z.cuid at temperature 0, 3 snippets available): PASSED
test_128.js (for zod.z.cuid at temperature 0, 3 snippets available): PASSED
test_129.js (for zod.z.cuid at temperature 0, 3 snippets available): FAILED
test_130.js (for zod.z.cuid at temperature 0, 3 snippets available): FAILED
test_131.js (for zod.z.cuid2 at temperature 0, 3 snippets available): PASSED
test_132.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_133.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_134.js (for zod.z.cuid2 at temperature 0, 3 snippets available): PASSED
test_135.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_136.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_137.js (for zod.z.ulid at temperature 0, 3 snippets available): PASSED
test_138.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
test_139.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
test_140.js (for zod.z.ulid at temperature 0, 3 snippets available): PASSED
test_141.js (for zod.z.ulid at temperature 0, 3 snippets available): PASSED
test_142.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_143.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_144.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorQgJBaj/report.json'
test_145.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_146.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
test_147.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorIfIXbS/report.json'
test_148.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
test_149.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
test_150.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_151.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_152.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_153.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_154.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_155.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_156.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_157.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_158.js (for zod.z.ipv6 at temperature 0, 3 snippets available): PASSED
test_159.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_160.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_161.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_162.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_163.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_164.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): FAILED
test_165.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_166.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_167.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): FAILED
test_168.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_169.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_170.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_171.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_172.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_173.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): FAILED
test_174.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_175.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_176.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_177.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_178.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_179.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_180.js (for zod.z.base64url at temperature 0, 3 snippets available): FAILED
test_181.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_182.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_183.js (for zod.z.e164 at temperature 0, 1 snippets available): FAILED
test_184.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_185.js (for zod.z.e164 at temperature 0, 1 snippets available): FAILED
test_186.js (for zod.z.e164 at temperature 0, 1 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validator2EOE4b/report.json'
test_187.js (for zod.z.e164 at temperature 0, 1 snippets available): FAILED
test_188.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_189.js (for zod.z.jwt at temperature 0, 1 snippets available): PASSED
test_190.js (for zod.z.jwt at temperature 0, 1 snippets available): FAILED
test_191.js (for zod.z.jwt at temperature 0, 1 snippets available): PASSED
TypeError: Cannot read properties of null (reading 'split')
    at Prompt.completeTest (/work/testpilot2/dist/promptCrafting.js:152:27)
    at TestGenerator.validateCompletion (/work/testpilot2/dist/generateTests.js:76:33)
    at TestGenerator.generateAndValidateTests (/work/testpilot2/dist/generateTests.js:57:51)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async runExperiment (/work/testpilot2/benchmark/run.js:38:9)
    at async /work/testpilot2/benchmark/run.js:233:13
