Warning: --strictResponses has no effect when not using --responses
Using openai/gpt-oss-120b at https://openrouter.ai/api/v1/chat/completions with 3 attempts and NoRateLimiter
Running experiment for zod
Loading API from /work/zod/experiments/testpilot-2026-09/results/population-main.json
Extracting snippets
Generating tests
test_0.js (for zod.z.iso.datetime at temperature 0, 3 snippets available): PASSED
test_45.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): PASSED
test_46.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): FAILED
test_47.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): PASSED
test_48.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): PASSED
test_49.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): FAILED
test_50.js (for zod.z.coerce.bigint at temperature 0, 3 snippets available): PASSED
test_51.js (for zod.z.coerce.date at temperature 0, 3 snippets available): PASSED
test_52.js (for zod.z.coerce.date at temperature 0, 3 snippets available): FAILED
test_53.js (for zod.z.coerce.date at temperature 0, 3 snippets available): FAILED
test_54.js (for zod.z.coerce.date at temperature 0, 3 snippets available): FAILED
test_55.js (for zod.z.coerce.date at temperature 0, 3 snippets available): PASSED
test_56.js (for zod.z.coerce.date at temperature 0, 3 snippets available): FAILED
test_57.js (for zod.z.coerce.date at temperature 0, 3 snippets available): PASSED
test_58.js (for zod.z.stringbool at temperature 0, 3 snippets available): FAILED
test_59.js (for zod.z.stringbool at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validator4Qspyl/report.json'
test_60.js (for zod.z.stringbool at temperature 0, 3 snippets available): FAILED
test_61.js (for zod.z.stringbool at temperature 0, 3 snippets available): FAILED
test_62.js (for zod.z.stringbool at temperature 0, 3 snippets available): PASSED
test_63.js (for zod.z.stringbool at temperature 0, 3 snippets available): PASSED
test_64.js (for zod.z.stringbool at temperature 0, 3 snippets available): FAILED
test_65.js (for zod.z.stringbool at temperature 0, 3 snippets available): PASSED
test_66.js (for zod.z.string at temperature 0, 3 snippets available): FAILED
test_67.js (for zod.z.string at temperature 0, 3 snippets available): FAILED
test_68.js (for zod.z.string at temperature 0, 3 snippets available): FAILED
test_69.js (for zod.z.string at temperature 0, 3 snippets available): PASSED
test_70.js (for zod.z.string at temperature 0, 3 snippets available): PASSED
test_71.js (for zod.z.string at temperature 0, 3 snippets available): FAILED
test_72.js (for zod.z.string at temperature 0, 3 snippets available): PASSED
test_73.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_74.js (for zod.z.email at temperature 0, 3 snippets available): PASSED
test_75.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_76.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatortYPsci/report.json'
test_77.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_78.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_79.js (for zod.z.email at temperature 0, 3 snippets available): FAILED
test_80.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_81.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_82.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_83.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_84.js (for zod.z.guid at temperature 0, 2 snippets available): PASSED
test_85.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_86.js (for zod.z.guid at temperature 0, 2 snippets available): FAILED
test_87.js (for zod.z.uuid at temperature 0, 3 snippets available): PASSED
test_88.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_89.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_90.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_91.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_92.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_93.js (for zod.z.uuid at temperature 0, 3 snippets available): FAILED
test_94.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): FAILED
test_95.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_96.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_97.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): FAILED
test_98.js (for zod.z.uuidv4 at temperature 0, 2 snippets available): PASSED
test_99.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_100.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_101.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): FAILED
test_102.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): PASSED
test_103.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatornVbJES/report.json'
test_104.js (for zod.z.uuidv6 at temperature 0, 1 snippets available): FAILED
test_105.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_106.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_107.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_108.js (for zod.z.uuidv7 at temperature 0, 2 snippets available): PASSED
test_109.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
Null completion (finish_reason=length)
test_110.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_111.js (for zod.z.url at temperature 0, 3 snippets available): PASSED
test_112.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_113.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_114.js (for zod.z.url at temperature 0, 3 snippets available): FAILED
test_115.js (for zod.z.emoji at temperature 0, 3 snippets available): FAILED
test_116.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_117.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_118.js (for zod.z.emoji at temperature 0, 3 snippets available): FAILED
test_119.js (for zod.z.emoji at temperature 0, 3 snippets available): PASSED
test_120.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_121.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_122.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_123.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_124.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatoroHC1cz/report.json'
test_125.js (for zod.z.nanoid at temperature 0, 3 snippets available): FAILED
test_126.js (for zod.z.nanoid at temperature 0, 3 snippets available): PASSED
test_127.js (for zod.z.cuid at temperature 0, 3 snippets available): PASSED
test_128.js (for zod.z.cuid at temperature 0, 3 snippets available): FAILED
test_129.js (for zod.z.cuid at temperature 0, 3 snippets available): FAILED
test_130.js (for zod.z.cuid at temperature 0, 3 snippets available): FAILED
Null completion (finish_reason=length)
test_131.js (for zod.z.cuid at temperature 0, 3 snippets available): PASSED
test_132.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_133.js (for zod.z.cuid2 at temperature 0, 3 snippets available): PASSED
test_134.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_135.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_136.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_137.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_138.js (for zod.z.cuid2 at temperature 0, 3 snippets available): FAILED
test_139.js (for zod.z.ulid at temperature 0, 3 snippets available): PASSED
test_140.js (for zod.z.ulid at temperature 0, 3 snippets available): PASSED
test_141.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorGSk0J8/report.json'
test_142.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
test_143.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
test_144.js (for zod.z.ulid at temperature 0, 3 snippets available): FAILED
test_145.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_146.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatoriSRWe0/report.json'
test_147.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_148.js (for zod.z.xid at temperature 0, 0 snippets available): FAILED
test_149.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
test_150.js (for zod.z.ksuid at temperature 0, 0 snippets available): PASSED
test_151.js (for zod.z.ksuid at temperature 0, 0 snippets available): FAILED
test_152.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_153.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_154.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_155.js (for zod.z.ipv4 at temperature 0, 3 snippets available): FAILED
test_156.js (for zod.z.ipv4 at temperature 0, 3 snippets available): PASSED
test_157.js (for zod.z.ipv6 at temperature 0, 3 snippets available): PASSED
test_158.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_159.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_160.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_161.js (for zod.z.ipv6 at temperature 0, 3 snippets available): PASSED
test_162.js (for zod.z.ipv6 at temperature 0, 3 snippets available): FAILED
test_163.js (for zod.z.ipv6 at temperature 0, 3 snippets available): PASSED
test_164.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_165.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_166.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_167.js (for zod.z.cidrv4 at temperature 0, 3 snippets available): PASSED
test_168.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_169.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_170.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_171.js (for zod.z.cidrv6 at temperature 0, 3 snippets available): PASSED
test_172.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_173.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_174.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_175.js (for zod.z.base64 at temperature 0, 2 snippets available): PASSED
test_176.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_177.js (for zod.z.base64url at temperature 0, 3 snippets available): FAILED
test_178.js (for zod.z.base64url at temperature 0, 3 snippets available): FAILED
test_179.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_180.js (for zod.z.base64url at temperature 0, 3 snippets available): FAILED
test_181.js (for zod.z.base64url at temperature 0, 3 snippets available): PASSED
test_182.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_183.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_184.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_185.js (for zod.z.e164 at temperature 0, 1 snippets available): PASSED
test_186.js (for zod.z.jwt at temperature 0, 1 snippets available): FAILED
test_187.js (for zod.z.jwt at temperature 0, 1 snippets available): PASSED
test_188.js (for zod.z.jwt at temperature 0, 1 snippets available): PASSED
test_189.js (for zod.z.jwt at temperature 0, 1 snippets available): FAILED
test_190.js (for zod.z.jwt at temperature 0, 1 snippets available): PASSED
test_191.js (for zod.z.stringFormat at temperature 0, 0 snippets available): PASSED
test_192.js (for zod.z.stringFormat at temperature 0, 0 snippets available): PASSED
test_193.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_194.js (for zod.z.number at temperature 0, 3 snippets available): PASSED
test_195.js (for zod.z.number at temperature 0, 3 snippets available): PASSED
test_196.js (for zod.z.number at temperature 0, 3 snippets available): FAILED
test_197.js (for zod.z.number at temperature 0, 3 snippets available): PASSED
test_198.js (for zod.z.int at temperature 0, 3 snippets available): PASSED
test_199.js (for zod.z.int at temperature 0, 3 snippets available): PASSED
test_200.js (for zod.z.int at temperature 0, 3 snippets available): FAILED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatoreB5tt0/report.json'
test_201.js (for zod.z.int at temperature 0, 3 snippets available): FAILED
test_202.js (for zod.z.int at temperature 0, 3 snippets available): PASSED
test_203.js (for zod.z.float32 at temperature 0, 2 snippets available): FAILED
test_204.js (for zod.z.float32 at temperature 0, 2 snippets available): PASSED
test_205.js (for zod.z.float32 at temperature 0, 2 snippets available): FAILED
test_206.js (for zod.z.float32 at temperature 0, 2 snippets available): FAILED
test_207.js (for zod.z.float32 at temperature 0, 2 snippets available): PASSED
test_208.js (for zod.z.float32 at temperature 0, 2 snippets available): FAILED
test_209.js (for zod.z.float32 at temperature 0, 2 snippets available): FAILED
test_210.js (for zod.z.float64 at temperature 0, 2 snippets available): FAILED
test_211.js (for zod.z.float64 at temperature 0, 2 snippets available): PASSED
test_212.js (for zod.z.float64 at temperature 0, 2 snippets available): FAILED
test_213.js (for zod.z.float64 at temperature 0, 2 snippets available): FAILED
test_214.js (for zod.z.float64 at temperature 0, 2 snippets available): PASSED
test_215.js (for zod.z.float64 at temperature 0, 2 snippets available): FAILED
test_216.js (for zod.z.float64 at temperature 0, 2 snippets available): FAILED
test_217.js (for zod.z.int32 at temperature 0, 3 snippets available): FAILED
test_218.js (for zod.z.int32 at temperature 0, 3 snippets available): PASSED
test_219.js (for zod.z.int32 at temperature 0, 3 snippets available): PASSED
test_220.js (for zod.z.int32 at temperature 0, 3 snippets available): FAILED
test_221.js (for zod.z.int32 at temperature 0, 3 snippets available): FAILED
test_222.js (for zod.z.int32 at temperature 0, 3 snippets available): FAILED
test_223.js (for zod.z.uint32 at temperature 0, 1 snippets available): FAILED
test_224.js (for zod.z.uint32 at temperature 0, 1 snippets available): FAILED
test_225.js (for zod.z.uint32 at temperature 0, 1 snippets available): FAILED
test_226.js (for zod.z.uint32 at temperature 0, 1 snippets available): PASSED
test_227.js (for zod.z.uint32 at temperature 0, 1 snippets available): FAILED
test_228.js (for zod.z.uint32 at temperature 0, 1 snippets available): PASSED
test_229.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_230.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_231.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_232.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_233.js (for zod.z.boolean at temperature 0, 3 snippets available): PASSED
test_234.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_235.js (for zod.z.boolean at temperature 0, 3 snippets available): FAILED
test_236.js (for zod.z.boolean at temperature 0, 3 snippets available): PASSED
test_237.js (for zod.z.bigint at temperature 0, 3 snippets available): FAILED
test_238.js (for zod.z.bigint at temperature 0, 3 snippets available): FAILED
test_239.js (for zod.z.bigint at temperature 0, 3 snippets available): PASSED
test_240.js (for zod.z.bigint at temperature 0, 3 snippets available): PASSED
test_241.js (for zod.z.bigint at temperature 0, 3 snippets available): FAILED
test_242.js (for zod.z.bigint at temperature 0, 3 snippets available): PASSED
test_243.js (for zod.z.int64 at temperature 0, 3 snippets available): FAILED
test_244.js (for zod.z.int64 at temperature 0, 3 snippets available): PASSED
test_245.js (for zod.z.int64 at temperature 0, 3 snippets available): FAILED
test_246.js (for zod.z.int64 at temperature 0, 3 snippets available): FAILED
test_247.js (for zod.z.int64 at temperature 0, 3 snippets available): PASSED
test_248.js (for zod.z.int64 at temperature 0, 3 snippets available): PASSED
test_249.js (for zod.z.uint64 at temperature 0, 1 snippets available): FAILED
test_250.js (for zod.z.uint64 at temperature 0, 1 snippets available): FAILED
test_251.js (for zod.z.uint64 at temperature 0, 1 snippets available): FAILED
test_252.js (for zod.z.uint64 at temperature 0, 1 snippets available): FAILED
test_253.js (for zod.z.uint64 at temperature 0, 1 snippets available): FAILED
test_254.js (for zod.z.uint64 at temperature 0, 1 snippets available): PASSED
test_255.js (for zod.z.uint64 at temperature 0, 1 snippets available): PASSED
test_256.js (for zod.z.symbol at temperature 0, 3 snippets available): PASSED
test_257.js (for zod.z.symbol at temperature 0, 3 snippets available): PASSED
test_258.js (for zod.z.symbol at temperature 0, 3 snippets available): PASSED
test_259.js (for zod.z.symbol at temperature 0, 3 snippets available): PASSED
test_260.js (for zod.z.undefined at temperature 0, 3 snippets available): FAILED
test_261.js (for zod.z.undefined at temperature 0, 3 snippets available): FAILED
test_262.js (for zod.z.undefined at temperature 0, 3 snippets available): PASSED
test_263.js (for zod.z.undefined at temperature 0, 3 snippets available): PASSED
test_264.js (for zod.z.undefined at temperature 0, 3 snippets available): FAILED
test_265.js (for zod.z.undefined at temperature 0, 3 snippets available): PASSED
test_266.js (for zod.z.null at temperature 0, 3 snippets available): FAILED
test_267.js (for zod.z.null at temperature 0, 3 snippets available): PASSED
test_268.js (for zod.z.null at temperature 0, 3 snippets available): PASSED
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorCzJk5G/report.json'
test_269.js (for zod.z.null at temperature 0, 3 snippets available): FAILED
test_270.js (for zod.z.null at temperature 0, 3 snippets available): FAILED
test_271.js (for zod.z.null at temperature 0, 3 snippets available): FAILED
test_272.js (for zod.z.any at temperature 0, 3 snippets available): PASSED
test_273.js (for zod.z.any at temperature 0, 3 snippets available): PASSED
test_274.js (for zod.z.any at temperature 0, 3 snippets available): PASSED
test_275.js (for zod.z.any at temperature 0, 3 snippets available): PASSED
test_276.js (for zod.z.unknown at temperature 0, 3 snippets available): PASSED
test_277.js (for zod.z.unknown at temperature 0, 3 snippets available): PASSED
test_278.js (for zod.z.unknown at temperature 0, 3 snippets available): PASSED
test_279.js (for zod.z.unknown at temperature 0, 3 snippets available): PASSED
test_280.js (for zod.z.never at temperature 0, 1 snippets available): PASSED
test_281.js (for zod.z.never at temperature 0, 1 snippets available): PASSED
test_282.js (for zod.z.never at temperature 0, 1 snippets available): PASSED
Null completion (finish_reason=length)
Error parsing coverage report: Error: ENOENT: no such file or directory, open '/tmp/mocha-validatorlFkDxj/report.json'
test_283.js (for zod.z.never at temperature 0, 1 snippets available): FAILED
test_284.js (for zod.z.void at temperature 0, 3 snippets available): FAILED
test_285.js (for zod.z.void at temperature 0, 3 snippets available): FAILED
test_286.js (for zod.z.void at temperature 0, 3 snippets available): FAILED
test_287.js (for zod.z.void at temperature 0, 3 snippets available): FAILED
test_288.js (for zod.z.void at temperature 0, 3 snippets available): PASSED
test_289.js (for zod.z.void at temperature 0, 3 snippets available): FAILED
test_290.js (for zod.z.void at temperature 0, 3 snippets available): PASSED
test_291.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_292.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_293.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_294.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_295.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_296.js (for zod.z.date at temperature 0, 3 snippets available): FAILED
test_297.js (for zod.z.date at temperature 0, 3 snippets available): PASSED
test_298.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_299.js (for zod.z.array at temperature 0, 3 snippets available): PASSED
test_300.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_301.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_302.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_303.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_304.js (for zod.z.array at temperature 0, 3 snippets available): FAILED
test_305.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_306.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_307.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_308.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_309.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_310.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_311.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_312.js (for zod.z.keyof at temperature 0, 3 snippets available): FAILED
test_313.js (for zod.z.object at temperature 0, 3 snippets available): FAILED
test_314.js (for zod.z.object at temperature 0, 3 snippets available): PASSED
test_315.js (for zod.z.object at temperature 0, 3 snippets available): FAILED
test_316.js (for zod.z.object at temperature 0, 3 snippets available): FAILED
test_317.js (for zod.z.object at temperature 0, 3 snippets available): FAILED
test_318.js (for zod.z.object at temperature 0, 3 snippets available): FAILED
test_319.js (for zod.z.object at temperature 0, 3 snippets available): PASSED
test_320.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_321.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_322.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_323.js (for zod.z.strictObject at temperature 0, 3 snippets available): PASSED
test_324.js (for zod.z.strictObject at temperature 0, 3 snippets available): PASSED
test_325.js (for zod.z.strictObject at temperature 0, 3 snippets available): FAILED
test_326.js (for zod.z.strictObject at temperature 0, 3 snippets available): PASSED
test_327.js (for zod.z.looseObject at temperature 0, 2 snippets available): FAILED
test_328.js (for zod.z.looseObject at temperature 0, 2 snippets available): PASSED
test_329.js (for zod.z.looseObject at temperature 0, 2 snippets available): PASSED
test_330.js (for zod.z.looseObject at temperature 0, 2 snippets available): PASSED
test_331.js (for zod.z.looseObject at temperature 0, 2 snippets available): PASSED
test_332.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_333.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_334.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_335.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_336.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_337.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_338.js (for zod.z.union at temperature 0, 3 snippets available): FAILED
test_339.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_340.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): PASSED
test_341.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_342.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): PASSED
test_343.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_344.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): FAILED
test_345.js (for zod.z.discriminatedUnion at temperature 0, 3 snippets available): PASSED
test_346.js (for zod.z.intersection at temperature 0, 3 snippets available): FAILED
test_347.js (for zod.z.intersection at temperature 0, 3 snippets available): FAILED
Null completion (finish_reason=length)
test_348.js (for zod.z.intersection at temperature 0, 3 snippets available): PASSED
test_349.js (for zod.z.intersection at temperature 0, 3 snippets available): FAILED
test_350.js (for zod.z.intersection at temperature 0, 3 snippets available): FAILED
test_351.js (for zod.z.intersection at temperature 0, 3 snippets available): FAILED
test_352.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_353.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_354.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_355.js (for zod.z.tuple at temperature 0, 3 snippets available): PASSED
test_356.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_357.js (for zod.z.tuple at temperature 0, 3 snippets available): FAILED
test_358.js (for zod.z.tuple at temperature 0, 3 snippets available): PASSED
test_359.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
test_360.js (for zod.z.record at temperature 0, 3 snippets available): PASSED
test_361.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
test_362.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
test_363.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
test_364.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
test_365.js (for zod.z.record at temperature 0, 3 snippets available): FAILED
