Function,Dev files,LLM baseline,Dev baseline,v4.1.0 LLM survivors,v4.1.0 dev passed,v4.1.0 dev skipped,v4.2.0 LLM survivors,v4.2.0 dev passed,v4.2.0 dev skipped,v4.3.0 LLM survivors,v4.3.0 dev passed,v4.3.0 dev skipped,v4.4.0 LLM survivors,v4.4.0 dev passed,v4.4.0 dev skipped,v4.5.0 LLM survivors,v4.5.0 dev passed,v4.5.0 dev skipped,v4.6.0 LLM survivors,v4.6.0 dev passed,v4.6.0 dev skipped
zod.z.uuidv7,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.uuid,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.prefault,classic/tests/prefault.test.ts,3,2,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0
zod.z.cuid2,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.unknown,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.uint32,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.keyof,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.catch,classic/tests/catch.test.ts,2,16,2,16,0,2,16,0,2,16,0,2,14,0,2,16,0,2,16,0
zod.z.nonoptional,classic/tests/nonoptional.test.ts,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
zod.z.boolean,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.check,mini/tests/checks.test.ts,4,17,4,17,0,4,17,0,4,17,0,4,17,0,4,17,0,4,17,0
zod.z.uppercase,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.minLength,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.negative,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.gte,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.endsWith,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.multipleOf,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.lt,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.trim,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.transform,classic/tests/transform.test.ts,2,16,2,16,0,2,16,0,2,16,0,2,16,0,2,16,0,2,16,0
zod.z.positive,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.overwrite,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.preprocess,classic/tests/preprocess.test.ts,4,11,4,8,0,4,8,0,4,8,0,4,8,0,4,8,0,4,8,0
zod.z.nonpositive,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.iso.duration,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.safeParse,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.parseAsync,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.coerce.number,classic/tests/number.test.ts; mini/tests/number.test.ts,1,34,1,34,0,1,34,0,1,34,0,1,34,0,1,32,0,1,32,0
zod.z.coerce.boolean,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.parse,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.iso.time,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
