Function,Dev files,LLM baseline,Dev baseline,v4.1.0 LLM survivors,v4.1.0 dev passed,v4.1.0 dev skipped,v4.2.0 LLM survivors,v4.2.0 dev passed,v4.2.0 dev skipped,v4.3.0 LLM survivors,v4.3.0 dev passed,v4.3.0 dev skipped,v4.4.0 LLM survivors,v4.4.0 dev passed,v4.4.0 dev skipped,v4.5.0 LLM survivors,v4.5.0 dev passed,v4.5.0 dev skipped,v4.6.0 LLM survivors,v4.6.0 dev passed,v4.6.0 dev skipped
zod.z.int64,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.uint64,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.symbol,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.undefined,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.null,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.any,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.unknown,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.never,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.void,classic/tests/void.test.ts,2,1,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0
zod.z.date,classic/tests/date.test.ts,1,3,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0
zod.z.array,classic/tests/array.test.ts,1,9,1,9,0,1,9,0,1,9,0,1,9,0,1,8,0,1,8,0
zod.z.object,classic/tests/object.test.ts; mini/tests/object.test.ts,2,56,2,56,0,2,56,0,2,56,0,2,56,0,2,56,0,2,56,0
zod.z.strictObject,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.looseObject,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.discriminatedUnion,classic/tests/discriminated-unions.test.ts,3,21,3,20,0,3,20,0,3,20,0,3,20,0,3,20,0,3,20,0
zod.z.intersection,classic/tests/intersection.test.ts,1,10,1,10,0,1,10,0,1,10,0,1,9,0,1,9,0,1,9,0
zod.z.tuple,classic/tests/tuple.test.ts,2,6,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0
zod.z.record,classic/tests/record.test.ts,1,13,1,13,0,1,13,0,1,13,0,1,13,0,1,13,0,1,13,0
zod.z.partialRecord,,3,0,2,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.map,classic/tests/map.test.ts,2,8,2,8,0,2,8,0,2,8,0,2,8,0,2,8,0,2,8,0
zod.z.set,classic/tests/set.test.ts,2,12,2,11,0,2,11,0,2,11,0,2,11,0,2,11,0,2,11,0
zod.z.enum,classic/tests/enum.test.ts,1,19,1,19,0,1,19,0,1,19,0,1,19,0,1,19,0,1,19,0
zod.z.nativeEnum,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.literal,classic/tests/literal.test.ts,4,9,4,9,0,4,9,0,4,9,0,4,9,0,4,9,0,4,9,0
zod.z.transform,classic/tests/transform.test.ts,2,16,2,16,0,2,16,0,2,16,0,2,16,0,2,16,0,2,16,0
zod.z.optional,classic/tests/optional.test.ts,3,5,3,5,0,3,5,0,3,5,0,3,4,0,3,3,0,3,3,0
zod.z.nullable,classic/tests/nullable.test.ts,4,3,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0,4,3,0
zod.z.nullish,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.prefault,classic/tests/prefault.test.ts,3,2,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0,3,2,0
zod.z.nonoptional,classic/tests/nonoptional.test.ts,2,3,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0
zod.z.success,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.catch,classic/tests/catch.test.ts,2,16,2,16,0,2,16,0,2,16,0,2,14,0,2,16,0,2,16,0
zod.z.nan,classic/tests/nan.test.ts,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
zod.z.readonly,classic/tests/readonly.test.ts,3,7,3,7,0,3,7,0,3,7,0,3,7,0,3,7,0,3,7,0
zod.z.templateLiteral,classic/tests/template-literal.test.ts,2,8,2,7,0,2,5,0,2,5,0,2,4,0,2,4,0,2,4,0
zod.z.lazy,classic/tests/lazy.test.ts,4,9,4,9,0,4,9,0,4,9,0,4,9,0,4,8,0,4,8,0
zod.z.promise,classic/tests/promise.test.ts,2,10,2,10,0,2,10,0,2,10,0,2,10,0,2,10,0,2,10,0
zod.z.check,mini/tests/checks.test.ts,2,17,2,17,0,2,17,0,2,17,0,2,17,0,2,17,0,2,17,0
zod.z.custom,classic/tests/custom.test.ts,3,4,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0,3,4,0
zod.z.refine,classic/tests/refine.test.ts,2,15,2,15,0,2,15,0,2,15,0,2,15,0,2,15,0,2,15,0
zod.z.superRefine,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.instanceof,classic/tests/instanceof.test.ts,3,2,3,2,0,3,2,0,0,2,0,0,2,0,0,2,0,0,2,0
zod.z.preprocess,classic/tests/preprocess.test.ts,4,11,4,8,0,4,8,0,4,8,0,4,8,0,4,8,0,4,8,0
zod.z.lte,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.gt,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.gte,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.positive,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.negative,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.nonpositive,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.multipleOf,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.maxSize,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.minSize,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.size,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.maxLength,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.length,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.regex,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.lowercase,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.uppercase,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.includes,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.endsWith,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.overwrite,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.normalize,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.trim,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.toLowerCase,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.toUpperCase,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,3,unmatched,unmatched
zod.z.parse,,2,0,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched,2,unmatched,unmatched
zod.z.parseAsync,,3,0,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched,3,unmatched,unmatched
zod.z.safeParse,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.safeParseAsync,,4,0,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched,4,unmatched,unmatched
zod.z.setErrorMap,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
zod.z.getErrorMap,,1,0,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched,1,unmatched,unmatched
