testName,api,stratum,status@v4.0.5,status@v4.1.0,status@v4.2.0,status@v4.3.0,status@v4.4.0,status@v4.5.0,status@v4.6.0,first_break,err_at_first_break
test_98.js,zod.z.array,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_100.js,zod.z.int64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_102.js,zod.z.int64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_104.js,zod.z.int64,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_105.js,zod.z.any,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_106.js,zod.z.any,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_107.js,zod.z.any,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_108.js,zod.z.any,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_109.js,zod.z.ulid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_110.js,zod.z.ulid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_111.js,zod.z.ulid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_112.js,zod.z.ulid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_121.js,zod.z.nullable,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_122.js,zod.z.nullable,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_123.js,zod.z.nullable,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_124.js,zod.z.nullable,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_132.js,zod.z.never,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_134.js,zod.z.never,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_136.js,zod.z.email,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_137.js,zod.z.email,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_143.js,zod.z.looseObject,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_146.js,zod.z.looseObject,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_147.js,zod.z.looseObject,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_150.js,zod.z.symbol,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_151.js,zod.z.symbol,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_153.js,zod.z.symbol,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_154.js,zod.z.uuidv7,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_155.js,zod.z.uuidv7,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_156.js,zod.z.uuidv7,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_157.js,zod.z.uuidv7,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_158.js,zod.z.uuid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_159.js,zod.z.uuid,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_164.js,zod.z.prefault,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_167.js,zod.z.prefault,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_168.js,zod.z.prefault,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_169.js,zod.z.cuid2,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_170.js,zod.z.cuid2,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_171.js,zod.z.cuid2,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_172.js,zod.z.cuid2,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_173.js,zod.z.unknown,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_174.js,zod.z.unknown,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_175.js,zod.z.unknown,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_176.js,zod.z.unknown,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_177.js,zod.z.uint32,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_178.js,zod.z.uint32,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_180.js,zod.z.uint32,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_185.js,zod.z.keyof,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_191.js,zod.z.catch,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_192.js,zod.z.catch,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_199.js,zod.z.nonoptional,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_200.js,zod.z.nonoptional,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_202.js,zod.z.nonoptional,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_204.js,zod.z.boolean,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_205.js,zod.z.boolean,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_207.js,zod.z.boolean,S,pass,pass,pass,pass,pass,pass,unavailable,,
test_209.js,zod.z.check,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_210.js,zod.z.check,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_211.js,zod.z.check,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_212.js,zod.z.check,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_219.js,zod.z.uppercase,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_227.js,zod.z.minLength,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_231.js,zod.z.negative,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_232.js,zod.z.negative,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_234.js,zod.z.negative,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_241.js,zod.z.gte,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_250.js,zod.z.endsWith,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_253.js,zod.z.endsWith,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_255.js,zod.z.endsWith,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_262.js,zod.z.multipleOf,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_263.js,zod.z.multipleOf,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_265.js,zod.z.multipleOf,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_274.js,zod.z.lt,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_276.js,zod.z.lt,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_279.js,zod.z.lt,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_281.js,zod.z.trim,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_283.js,zod.z.trim,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_284.js,zod.z.trim,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_285.js,zod.z.trim,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_286.js,zod.z.transform,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_287.js,zod.z.transform,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_294.js,zod.z.positive,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_295.js,zod.z.positive,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_302.js,zod.z.overwrite,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_304.js,zod.z.overwrite,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_305.js,zod.z.preprocess,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_306.js,zod.z.preprocess,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_307.js,zod.z.preprocess,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_308.js,zod.z.preprocess,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_311.js,zod.z.nonpositive,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_313.js,zod.z.nonpositive,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_314.js,zod.z.nonpositive,C,pass,pass,pass,pass,pass,pass,unavailable,,
test_319.js,zod.z.iso.duration,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_325.js,zod.z.safeParse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_326.js,zod.z.safeParse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_327.js,zod.z.safeParse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_328.js,zod.z.safeParse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_330.js,zod.z.parseAsync,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_331.js,zod.z.parseAsync,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_333.js,zod.z.parseAsync,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_335.js,zod.z.coerce.number,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_346.js,zod.z.coerce.boolean,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_349.js,zod.z.parse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_350.js,zod.z.parse,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_353.js,zod.z.parse,Q,pass,pass,pass,pass,pass,fail,unavailable,v4.5.0,"Got unwanted exception.
Actual message: ""[
  {
    ""origin"": ""string"",
    ""code"": ""invalid_format"",
    ""format"": ""datetime"",
    ""pattern"": ""/^(?:(?:\\d\\d[2468][048]|\\d\\d[13579][26]|\\d\\d0[48]|[02468][048]00|[13579][26]00)-02-29|\\d{4}-(?:(?:0[13578]|1[02])-(?:0[1-9]|[12]\\d|3[01])|(?:0[469]|1"
test_357.js,zod.z.iso.time,Q,pass,pass,pass,pass,pass,pass,unavailable,,
test_359.js,zod.z.iso.time,Q,pass,pass,pass,pass,pass,pass,unavailable,,
